raw,id,address,price,beds,baths,sq_ft,pool,subj_remodel_score,throw_out,sold_price,sold_date,lot_size,list_price,list_price2,list_price3,list_price4,list_price5,list_price6,list_price7,list_price8,list_price9,list_price10,list_price11,list_price12,list_date1,list_date2,list_date3,list_date4,list_date5,list_date6,list_date7,list_date8,list_date9,list_date10,list_date11,list_date12,list_date13,list_date14,for_sale_price
"4 bd2.5 ba3,014 sqft 8100 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $670,500 remodel-1 lot6534 pool1",1,"8100 Bay Harbor Dr, Las Vegas, NV 89128",670500,4,5,3014,1,-1,0,-1,-1,6534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd2.5 ba3,014 sqft 8152 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $724,500 remodel4 lot6534 pool1",2,"8152 Bay Harbor Dr, Las Vegas, NV 89128",724500,4,5,3014,1,4,0,-1,-1,6534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba2,588 sqft 8148 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $731,800 remodel4 lot6534 pool1",3,"8148 Bay Harbor Dr, Las Vegas, NV 89128",731800,4,3,2588,1,4,0,-1,-1,6534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"3 bd2 ba2,316 sqft 8144 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $700,200 remodel-1 lot6534 pool1",4,"8144 Bay Harbor Dr, Las Vegas, NV 89128",700200,3,2,2316,1,-1,0,-1,-1,6534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"3 bd3 ba3,014 sqft 8140 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $758,300 remodel6 lot6534 pool1",5,"8140 Bay Harbor Dr, Las Vegas, NV 89128",758300,3,3,3014,1,6,0,-1,-1,6534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba2,588 sqft 8136 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $756,700 remodel4 lot6534 pool1",6,"8136 Bay Harbor Dr, Las Vegas, NV 89128",756700,4,3,2588,1,4,0,-1,-1,6534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5 bd4 ba3,406 sqft 8132 Bay Harbor Dr, Las Vegas, NV 89128 Closed : $815,000Sold on 01/08/24Zestimate®: $847,700 remodel8 lot6534 pool1 1/8/2024 Sold $815,000 11/29/2023 Contingent $819,900 11/17/2023 Price change1 $819,900 10/26/2023 Listed for sale $829,900",7,"8132 Bay Harbor Dr, Las Vegas, NV 89128",847700,5,4,3406,1,8,0,815000,01/08/24,6534,829900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10/26/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"3 bd3 ba3,014 sqft 8128 Bay Harbor Dr, Las Vegas, NV 89128 Closed : $770,000Sold on 10/02/23Zestimate®: $818,300 remodel7 lot6534 pool1 10/2/2023 Sold $770,000 8/28/2023 Pending sale $770,000 8/20/2023 Price change3 $770,000 7/20/2023 Price change2 $780,000 6/25/2023 Price change1 $805,000 6/3/2023 Listed for sale $825,000",8,"8128 Bay Harbor Dr, Las Vegas, NV 89128",818300,3,3,3014,1,7,0,770000,10/02/23,6534,825000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,06/03/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"3 bd2 ba2,316 sqft 8124 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $702,200 remodel4 lot6534 pool1",9,"8124 Bay Harbor Dr, Las Vegas, NV 89128",702200,3,2,2316,1,4,0,-1,-1,6534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd4 ba3,406 sqft 8120 Bay Harbor Dr, Las Vegas, NV 89128 Closed : $720,000Sold on 03/21/22Zestimate®: $841,400 remodel6 lot6534 pool1 3/21/2022 Sold $720,000 1/25/2022 Contingent $725,000 12/22/2021 Listed for sale $725,000",10,"8120 Bay Harbor Dr, Las Vegas, NV 89128",841400,4,4,3406,1,6,0,720000,03/21/22,6534,725000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12/22/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba2,588 sqft 8116 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $742,700 remodel-1 lot6534 pool1",11,"8116 Bay Harbor Dr, Las Vegas, NV 89128",742700,4,3,2588,1,-1,0,-1,-1,6534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
