raw,id,address,price,beds,baths,sq_ft,pool,subj_remodel_score,throw_out,sold_price,sold_date,lot_size
"3 bd2 ba1,962 sqft 1250 Campbell Dr, Las Vegas, NV 89102 Off market Zestimate®: $625,000",x,"1250 Campbell Dr, Las Vegas, NV 89102",625000,3,2,1962,1,6,0,-1,-1,9147
"3 bd2 ba1,898 sqft 1604 Campbell Dr, Las Vegas, NV 89102 Closed: $535,000Sold on 05/19/23Zestimate®: $585,600",1,"1604 Campbell Dr, Las Vegas, NV 89102",585600,3,2,1898,0,7,0,535000,05/19/23,7840
"3 bd3 ba2,421 sqft 1600 Campbell Dr, Las Vegas, NV 89102 Off market Zestimate®: $550,900",2,"1600 Campbell Dr, Las Vegas, NV 89102",550900,3,3,2421,0,5,0,-1,-1,"8712"
"3 bd2 ba2,330 sqft 1508 Campbell Dr, Las Vegas, NV 89102 Off market Zestimate®: $612,800",3,"1508 Campbell Dr, Las Vegas, NV 89102",612800,3,2,2330,1,-1,0,-1,-1,8276
"3 bd3 ba2,438 sqft 1504 Campbell Dr, Las Vegas, NV 89102 Off market Zestimate®: $547,200",4,"1504 Campbell Dr, Las Vegas, NV 89102",547200,3,3,2438,1,-1,0,-1,-1,8276
"3 bd2 ba1,672 sqft 1404 Campbell Dr, Las Vegas, NV 89102 Closed: $495,000 Sold on 11/03/21 Zestimate®: $586,900",5,"1404 Campbell Dr, Las Vegas, NV 89102",586900,3,2,1672,1,8,0,495000,11/03/21,9147
"3 bd2 ba1,624 sqft 1400 Campbell Dr, Las Vegas, NV 89102 Off market Zestimate®: $528,600",6,"1400 Campbell Dr, Las Vegas, NV 89102",528600,3,2,1624,1,-1,0,-1,-1,9147
"4 bd2 ba1,859 sqft 1312 Campbell Dr, Las Vegas, NV 89102 Closed: $710,000 Sold on 04/20/22 Zestimate®: $701,800",7,"1312 Campbell Dr, Las Vegas, NV 89102",701800,4,2,1859,1,9,0,710000,04/20/22,9147
"3 bd2 ba1,800 sqft 1308 Campbell Dr, Las Vegas, NV 89102 Off market Zestimate®: $537,200",8,"1308 Campbell Dr, Las Vegas, NV 89102",537200,3,2,1800,1,3,0,-1,-1,8712
asdf,,"1300 Campbell Dr, Las Vegas, NV 89102",650000,3,2,1962,1,8,0,530000,04/10/2024,9147
"3 bd3 ba2,378 sqft 1262 Campbell Dr, Las Vegas, NV 89102 Off market Zestimate®: $610,700",9,"1262 Campbell Dr, Las Vegas, NV 89102",610700,3,3,2378,1,-1,0,-1,-1,9240
"3 bd2 ba2,514 sqft 1258 Campbell Dr, Las Vegas, NV 89102 Off market Zestimate®: $679,100",10,"1258 Campbell Dr, Las Vegas, NV 89102",679100,3,2,2514,1,6,0,-1,-1,9147
"3 bd3 ba1,872 sqft 1246 Campbell Dr, Las Vegas, NV 89102 Off market Zestimate®: $668,500",12,"1246 Campbell Dr, Las Vegas, NV 89102",668500,3,3,1872,1,7,0,-1,-1,9147
"4 bd2 ba1,962 sqft 1242 Campbell Dr, Las Vegas, NV 89102 Off market Zestimate®: $530,900",13,"1242 Campbell Dr, Las Vegas, NV 89102",530900,4,2,1962,1,-1,0,-1,-1,9583
"3 bd2 ba1,872 sqft 1238 Campbell Dr, Las Vegas, NV 89102 Off market Zestimate®: $474,100",14,"1238 Campbell Dr, Las Vegas, NV 89102",474100,3,2,1872,0,3,0,-1,-1,9147
"4 bd4 ba3,195 sqft 3020 Mason Ave, Las Vegas, NV 89102 Off market Zestimate®: $744,200",15,"3020 Mason Ave, Las Vegas, NV 89102",744200,4,4,3195,0,-1,0,-1,-1,13939
"3 bd3 ba2,045 sqft 1257 Campbell Dr, Las Vegas, NV 89102 Off market Zestimate®: $641,400",16,"1257 Campbell Dr, Las Vegas, NV 89102",641400,3,3,2045,1,5,0,-1,-1,10890
"3 bd2.5 ba2,396 sqft 1263 Campbell Dr, Las Vegas, NV 89102 Off market Zestimate®: $599,300",17,"1263 Campbell Dr, Las Vegas, NV 89102",599300,3,5,2396,1,-1,0,-1,-1,10890
"4 bd2.5 ba2,610 sqft 3020 Bryant Ave, Las Vegas, NV 89102 Off market Zestimate®: $598,100",18,"3020 Bryant Ave, Las Vegas, NV 89102",598100,4,5,2610,0,-1,0,-1,-1,10890
"4 bd3 ba2,696 sqft 3021 Bryant Ave, Las Vegas, NV 89102 Off market Zestimate®: $754,100",19,"3021 Bryant Ave, Las Vegas, NV 89102",754100,4,3,2696,1,-1,0,-1,-1,10454
"4 bd3 ba2,257 sqft 3016 Colanthe Ave, Las Vegas, NV 89102 Off market Zestimate®: $542,600",20,"3016 Colanthe Ave, Las Vegas, NV 89102",542600,4,3,2257,0,-1,0,-1,-1,9583
"4 bd3 ba2,514 sqft 3017 Colanthe Ave, Las Vegas, NV 89102 Off market Zestimate®: $662,900",21,"3017 Colanthe Ave, Las Vegas, NV 89102",662900,4,3,2514,1,3,0,-1,-1,10454
"4 bd2 ba2,177 sqft 3016 Gilmary Ave, Las Vegas, NV 89102 Off market Zestimate®: $526,300",22,"3016 Gilmary Ave, Las Vegas, NV 89102",526300,4,2,2177,0,-1,0,-1,-1,10018
