raw,id,address,price,beds,baths,sq_ft,pool,subj_remodel_score,throw_out,sold_price,sold_date,lot_size,list_price,list_price2,list_price3,list_price4,list_price5,list_price6,list_price7,list_price8,list_price9,list_price10,list_price11,list_price12,list_date1,list_date2,list_date3,list_date4,list_date5,list_date6,list_date7,list_date8,list_date9,list_date10,list_date11,list_date12,list_date13,list_date14,for_sale_price
"5 bd3 ba2,451 sqft 2804 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $530,500 remodel4 pool0 lot5499",1,"2804 Huber Heights Dr, Las Vegas, NV 89128",530500,5,3,2451,0,4,0,-1,-1,5499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba2,629 sqft 2800 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $592,300 remodel4 pool0 lot5662",2,"2800 Huber Heights Dr, Las Vegas, NV 89128",592300,4,3,2629,0,4,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5 bd3 ba2,701 sqft 2752 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $551,400 remodel-1 pool0 lot5662",3,"2752 Huber Heights Dr, Las Vegas, NV 89128",551400,5,3,2701,0,-1,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd2 ba2,036 sqft 2748 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $519,700 remodel3 pool0 lot5662",4,"2748 Huber Heights Dr, Las Vegas, NV 89128",519700,4,2,2036,0,3,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5 bd3 ba2,700 sqft 2744 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $545,300 remodel-1 pool0 lot5227",5,"2744 Huber Heights Dr, Las Vegas, NV 89128",545300,5,3,2700,0,-1,0,-1,-1,5227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5 bd3 ba2,700 sqft 2740 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $552,900 remodel-1 pool0 lot5662",6,"2740 Huber Heights Dr, Las Vegas, NV 89128",552900,5,3,2700,0,-1,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5 bd3 ba2,450 sqft 2736 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $579,700 remodel-1 pool1 lot5227",7,"2736 Huber Heights Dr, Las Vegas, NV 89128",579700,5,3,2450,1,-1,0,-1,-1,5227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5 bd3 ba2,450 sqft 2732 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $552,000 remodel-1 pool0 lot5662",8,"2732 Huber Heights Dr, Las Vegas, NV 89128",552000,5,3,2450,0,-1,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5 bd2 ba2,451 sqft 2728 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $545,800 remodel-1 pool0 lot5662",9,"2728 Huber Heights Dr, Las Vegas, NV 89128",545800,5,2,2451,0,-1,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5 bd3 ba2,628 sqft 2724 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $564,900 remodel5 pool0 lot5662",10,"2724 Huber Heights Dr, Las Vegas, NV 89128",564900,5,3,2628,0,5,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5 bd3 ba2,450 sqft 2720 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $628,700 remodel6 pool1 lot5662",11,"2720 Huber Heights Dr, Las Vegas, NV 89128",628700,5,3,2450,1,6,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba2,451 sqft 2716 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $530,600 remodel-1 pool0 lot6000",12,"2716 Huber Heights Dr, Las Vegas, NV 89128",530600,4,3,2451,0,-1,0,-1,-1,6000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba2,629 sqft 2712 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $587,900 remodel-1 pool1 lot5662",13,"2712 Huber Heights Dr, Las Vegas, NV 89128",587900,4,3,2629,1,-1,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5 bd3 ba2,701 sqft 2708 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $624,700 remodel4 pool1 lot5662",14,"2708 Huber Heights Dr, Las Vegas, NV 89128",625000,5,3,2701,1,4,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba2,380 sqft 2704 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $593,800 remodel-1 pool1 lot6000",15,"2704 Huber Heights Dr, Las Vegas, NV 89128",593800,4,3,2380,1,-1,0,-1,-1,6000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"3 bd2 ba1,703 sqft 2700 Huber Heights Dr, Las Vegas, NV 89128 Closed : $420,000Sold on 01/31/23Zestimate®: $455,400 remodel4 pool0 lot5662 1/31/2023 Sold $420,000 1/4/2023 Pending sale $395,000 12/30/2022 Listed for sale $395,000",16,"2700 Huber Heights Dr, Las Vegas, NV 89128",455400,3,2,1703,0,4,0,420000,01/31/23,5662,395000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12/30/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"3 bd2 ba1,703 sqft 2652 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $465,900 remodel-1 pool0 lot5499",17,"2652 Huber Heights Dr, Las Vegas, NV 89128",465900,3,2,1703,0,-1,0,-1,-1,5499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"3 bd3 ba2,380 sqft 2648 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $562,200 remodel4 pool0 lot5662",18,"2648 Huber Heights Dr, Las Vegas, NV 89128",562200,3,3,2380,0,4,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579900
"4 bd3 ba2,451 sqft 2644 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $543,500 remodel3 pool0 lot5662",19,"2644 Huber Heights Dr, Las Vegas, NV 89128",543500,4,3,2451,0,3,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd2.5 ba2,422 sqft 2640 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $593,900 remodel-1 pool1 lot5227",20,"2640 Huber Heights Dr, Las Vegas, NV 89128",593900,4,5,2422,1,-1,0,-1,-1,5227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd2.5 ba2,422 sqft 2636 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $582,300 remodel-1 pool1 lot5227",21,"2636 Huber Heights Dr, Las Vegas, NV 89128",582300,4,5,2422,1,-1,0,-1,-1,5227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd2.5 ba2,294 sqft 2632 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $524,400 remodel-1 pool0 lot5662",22,"2632 Huber Heights Dr, Las Vegas, NV 89128",524400,4,5,2294,0,-1,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5 bd3.5 ba3,152 sqft 2628 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $716,700 remodel6 pool1 lot5662",23,"2628 Huber Heights Dr, Las Vegas, NV 89128",716700,5,5,3152,1,6,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"2 bd2 ba2,226 sqft 2624 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $557,700 remodel-1 pool1 lot5227",24,"2624 Huber Heights Dr, Las Vegas, NV 89128",557700,2,2,2226,1,-1,0,-1,-1,5227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"2 bd2 ba2,226 sqft 2620 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $504,500 remodel-1 pool0 lot5227",25,"2620 Huber Heights Dr, Las Vegas, NV 89128",504500,2,2,2226,0,-1,0,-1,-1,5227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5 bd4 ba3,394 sqft 2616 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $722,400 remodel5 pool1 lot5662",26,"2616 Huber Heights Dr, Las Vegas, NV 89128",722400,5,4,3394,1,5,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd4 ba3,152 sqft 2612 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $627,000 remodel-1 pool1 lot5662",27,"2612 Huber Heights Dr, Las Vegas, NV 89128",627000,4,4,3152,1,-1,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5 bd3.5 ba3,394 sqft 2608 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $696,100 remodel-1 pool1 lot5662",28,"2608 Huber Heights Dr, Las Vegas, NV 89128",696100,5,5,3394,1,-1,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
